,timestamps,tweets
37,2018-11-23 02:00:19,"#ICC Womes T2O WorldCup Semi Final #INDWvENGW
 #Target 113
 #ENGW 25/2
O5/Ovr
Jones 16*
Sciver O*
Wyatt 8 Off 15
 #J/G &amp; #S/J"
38,2018-11-23 01:59:41,Good luck to all my #target family tonight but can't say I miss it ❤️ #BlackFriday
39,2018-11-23 01:58:57,#BlackFriday Deal Alert!! #ad Get #StarlinkGame for Nintendo Switch for $39.99 (a savings of $35) at #Target and sa… https://t.co/tc8UXjaekm
40,2018-11-23 01:56:13,#ChildhoodCancer RT @NCI_NCIP: #TARGET (Therapeutically Applicable Research To Generate Effective Treatments) appli… https://t.co/hShbNvNnQ7
41,2018-11-23 01:55:04,#TARGET (Therapeutically Applicable Research To Generate Effective Treatments) applies a comprehensive #genomic app… https://t.co/YdBYLzWbjl
42,2018-11-23 01:53:51,"Well, I think I'll take a shower and then head off to #Target so I can watch people beat the shit out of each other… https://t.co/q4a3xjjTbq"
43,2018-11-23 01:48:27,RT @lesliebrown318: Happy Thanksgiving from the T0658 Moorhead #Target team! We are ready to #BringTheJoy and excited for #HolidayDominatio…
44,2018-11-23 01:43:29,"RT @MEarthprime: #TBS #WizardOfOz 5pm &amp; 7:15pm Central (#Thanksgiving)
Its that time of the years to sit down &amp; watch the #JudyGarland Wiza…"
45,2018-11-23 01:43:06,RT @lesliebrown318: Happy Thanksgiving from the T0658 Moorhead #Target team! We are ready to #BringTheJoy and excited for #HolidayDominatio…
46,2018-11-23 01:42:36,Happy Thanksgiving from the T0658 Moorhead #Target team! We are ready to #BringTheJoy and excited for… https://t.co/zeePG04BSi
47,2018-11-23 01:42:18,RT @mmarie276: When its Thanksgiving and its your birthday you go to #Target and fill 3 carts with #doorbusterdeals! #savings #blackfriday…
48,2018-11-23 01:30:17,"RT @bradpearce2010: Kicking off the holiday season with the best team in retail, my #FolsomFam ! There’s no other team I’d want to spend th…"
49,2018-11-23 01:26:47,@promo_grocery N🚫t happy. Got there at 4pm. Went in at 5pm and straight to tv area for $199 4K tv only to be told I… https://t.co/fUMtcHm3Sb
50,2018-11-23 01:26:03,"Kicking off the holiday season with the best team in retail, my #FolsomFam ! There’s no other team I’d want to spen… https://t.co/4Pd0gy5s60"
51,2018-11-23 01:21:04,Pyrex 22-Piece Glass Mixing Bowl and Food Storage Set with Lids - $18.00 #target https://t.co/1FALWmNEcU
52,2018-11-23 01:20:38,"One stop shop for all your Retail and luxury online shopping needs.I'm Affiliated with over 10,000 online stores.… https://t.co/ejS8gsjOuK"
53,2018-11-23 01:20:16,I couldn't resist!! #blackfriday #target #burbank Only $10 for this guy. He stays in passenger's side (with seatbel… https://t.co/ZDZEEdo0Im
54,2018-11-23 01:17:06,My Thanksgiving Dinner. Tacos complements of Target. Makes working today a little better. #tacos… https://t.co/rLvROFJf8C
55,2018-11-23 01:13:03,23andMe Personal Ancestry DNA Test Kit with $10 Target Gift Card - $59.00 #target https://t.co/VbhWVKOAAw
56,2018-11-23 01:11:07,Oh hell ya @Target #StarWars #HappyThanksgiving #BB8 #TARGET https://t.co/klK8SHsKa6
57,2018-11-23 01:08:02,3 Applications for Real-Time #Personalization: https://t.co/7uFYavmv4M by Karlie Morien on @Monetate via… https://t.co/kv5vJhtGYE
58,2018-11-23 01:07:58,"SAVE ALL THE MONEY YOU CAN! #YOUAREWELCOME #BLACKFRIDAY #CYBERMONDAY #Thanksgiving
#AmazonBlackFriday
#target… https://t.co/JPVAbite8a"
59,2018-11-23 01:01:58,Mistah MegaManFan's Black Friday PSA and holiday deals for #Switch and #XBoxOne at #Walmart &amp; #Target! https://t.co/YpeTqgvqmu
60,2018-11-23 01:01:30,"RT @omaze: Katy M. from Manteca, CA won a $10,000 @Target gift card! And her #Target run absolutely warms our heart—buying supplies to help…"
61,2018-11-23 00:55:11,"I just bought and apple watch, and I have like $0 now, but it’s fine. #BlackFriday2018 #Target"
62,2018-11-23 00:53:28,Second store!  Disappointed. The sales are horrible!! 😡😡 #target #thanksgiving @ Target Store Bird-Road https://t.co/4vV0xwTMNv
63,2018-11-23 00:53:20,When its Thanksgiving and its your birthday you go to #Target and fill 3 carts with #doorbusterdeals! #savings… https://t.co/Z5CbXhQkAu
64,2018-11-23 00:48:52,"Are you kidding me?
.
4:45 p.m. #Thanksgiving #afternoon at #Target in #LasVegas 
.
They should be over at… https://t.co/ZdLT9fMSkU"
65,2018-11-23 00:46:41,Here I come #target
66,2018-11-23 00:42:35,#BlackFriday Deal Alert!! #ad Get #StarlinkGame for Nintendo Switch for $39.99 (a savings of $35) at #Target and sa… https://t.co/febQ8rOyz2
67,2018-11-23 00:31:40,#blackfriday at #target with #Minions https://t.co/VOHIyuqHrH
68,2018-11-23 00:25:05,RT @SubscriptionBox: Target Beauty Box Black Friday Sale - Buy 1 Get 1 50% Off! #target https://t.co/Xv4HUC8RXj https://t.co/3jfNKF3ooB
69,2018-11-23 00:09:13,Target Beauty Box Black Friday Sale - Buy 1 Get 1 50% Off! #target https://t.co/Xv4HUC8RXj https://t.co/3jfNKF3ooB
70,2018-11-23 00:03:03,"How to Achieve Anything by 📌 Setting SMART 🎯 Goals
#goals #smartgoals #business #team #target #collaborate #success… https://t.co/El2r9QlH1W"
71,2018-11-23 00:01:04,Tradition that each kid gets a giant stuffed teddy bear for their 1st Christmas. #blackfriday #teddybear… https://t.co/erWqEncoMW
