,month,day,hour,value,timestamp,timestamps
92,11,18,11,26,2018-11-18 11:00:00,1542556800.0
93,11,18,12,25,2018-11-18 12:00:00,1542560400.0
94,11,18,13,31,2018-11-18 13:00:00,1542564000.0
95,11,18,14,34,2018-11-18 14:00:00,1542567600.0
96,11,18,15,43,2018-11-18 15:00:00,1542571200.0
97,11,18,16,42,2018-11-18 16:00:00,1542574800.0
98,11,18,17,48,2018-11-18 17:00:00,1542578400.0
99,11,18,18,53,2018-11-18 18:00:00,1542582000.0
100,11,18,19,46,2018-11-18 19:00:00,1542585600.0
101,11,18,2,71,2018-11-18 02:00:00,1542524400.0
102,11,18,20,46,2018-11-18 20:00:00,1542589200.0
103,11,18,21,40,2018-11-18 21:00:00,1542592800.0
104,11,18,22,60,2018-11-18 22:00:00,1542596400.0
105,11,18,23,70,2018-11-18 23:00:00,1542600000.0
106,11,18,3,43,2018-11-18 03:00:00,1542528000.0
107,11,18,4,41,2018-11-18 04:00:00,1542531600.0
108,11,18,5,22,2018-11-18 05:00:00,1542535200.0
109,11,18,6,27,2018-11-18 06:00:00,1542538800.0
110,11,18,7,37,2018-11-18 07:00:00,1542542400.0
111,11,18,8,28,2018-11-18 08:00:00,1542546000.0
112,11,18,9,31,2018-11-18 09:00:00,1542549600.0
113,11,19,0,51,2018-11-19 00:00:00,1542603600.0
114,11,19,1,35,2018-11-19 01:00:00,1542607200.0
115,11,19,10,18,2018-11-19 10:00:00,1542639600.0
116,11,19,11,19,2018-11-19 11:00:00,1542643200.0
117,11,19,12,15,2018-11-19 12:00:00,1542646800.0
118,11,19,13,23,2018-11-19 13:00:00,1542650400.0
119,11,19,14,30,2018-11-19 14:00:00,1542654000.0
120,11,19,15,27,2018-11-19 15:00:00,1542657600.0
121,11,19,16,31,2018-11-19 16:00:00,1542661200.0
122,11,19,17,38,2018-11-19 17:00:00,1542664800.0
123,11,19,18,23,2018-11-19 18:00:00,1542668400.0
124,11,19,19,40,2018-11-19 19:00:00,1542672000.0
125,11,19,2,32,2018-11-19 02:00:00,1542610800.0
126,11,19,20,43,2018-11-19 20:00:00,1542675600.0
127,11,19,21,61,2018-11-19 21:00:00,1542679200.0
128,11,19,22,45,2018-11-19 22:00:00,1542682800.0
129,11,19,23,35,2018-11-19 23:00:00,1542686400.0
130,11,19,3,30,2018-11-19 03:00:00,1542614400.0
131,11,19,4,21,2018-11-19 04:00:00,1542618000.0
132,11,19,5,20,2018-11-19 05:00:00,1542621600.0
133,11,19,6,28,2018-11-19 06:00:00,1542625200.0
134,11,19,7,27,2018-11-19 07:00:00,1542628800.0
135,11,19,8,22,2018-11-19 08:00:00,1542632400.0
136,11,19,9,19,2018-11-19 09:00:00,1542636000.0
137,11,20,0,35,2018-11-20 00:00:00,1542690000.0
138,11,20,1,36,2018-11-20 01:00:00,1542693600.0
139,11,20,10,14,2018-11-20 10:00:00,1542726000.0
140,11,20,11,15,2018-11-20 11:00:00,1542729600.0
141,11,20,12,17,2018-11-20 12:00:00,1542733200.0
142,11,20,13,16,2018-11-20 13:00:00,1542736800.0
143,11,20,14,22,2018-11-20 14:00:00,1542740400.0
144,11,20,15,24,2018-11-20 15:00:00,1542744000.0
145,11,20,16,26,2018-11-20 16:00:00,1542747600.0
146,11,20,17,40,2018-11-20 17:00:00,1542751200.0
147,11,20,18,42,2018-11-20 18:00:00,1542754800.0
148,11,20,19,91,2018-11-20 19:00:00,1542758400.0
149,11,20,2,31,2018-11-20 02:00:00,1542697200.0
150,11,20,20,42,2018-11-20 20:00:00,1542762000.0
151,11,20,21,38,2018-11-20 21:00:00,1542765600.0
152,11,20,22,28,2018-11-20 22:00:00,1542769200.0
153,11,20,23,48,2018-11-20 23:00:00,1542772800.0
154,11,20,3,28,2018-11-20 03:00:00,1542700800.0
155,11,20,4,24,2018-11-20 04:00:00,1542704400.0
156,11,20,5,26,2018-11-20 05:00:00,1542708000.0
157,11,20,6,17,2018-11-20 06:00:00,1542711600.0
158,11,20,7,26,2018-11-20 07:00:00,1542715200.0
159,11,20,8,11,2018-11-20 08:00:00,1542718800.0
160,11,20,9,10,2018-11-20 09:00:00,1542722400.0
161,11,21,0,44,2018-11-21 00:00:00,1542776400.0
162,11,21,1,42,2018-11-21 01:00:00,1542780000.0
163,11,21,10,56,2018-11-21 10:00:00,1542812400.0
164,11,21,11,33,2018-11-21 11:00:00,1542816000.0
165,11,21,12,41,2018-11-21 12:00:00,1542819600.0
166,11,21,13,36,2018-11-21 13:00:00,1542823200.0
167,11,21,14,33,2018-11-21 14:00:00,1542826800.0
168,11,21,15,35,2018-11-21 15:00:00,1542830400.0
169,11,21,16,54,2018-11-21 16:00:00,1542834000.0
170,11,21,17,39,2018-11-21 17:00:00,1542837600.0
171,11,21,18,32,2018-11-21 18:00:00,1542841200.0
172,11,21,19,60,2018-11-21 19:00:00,1542844800.0
173,11,21,2,36,2018-11-21 02:00:00,1542783600.0
174,11,21,20,45,2018-11-21 20:00:00,1542848400.0
175,11,21,21,41,2018-11-21 21:00:00,1542852000.0
176,11,21,22,28,2018-11-21 22:00:00,1542855600.0
177,11,21,23,34,2018-11-21 23:00:00,1542859200.0
178,11,21,3,57,2018-11-21 03:00:00,1542787200.0
179,11,21,4,60,2018-11-21 04:00:00,1542790800.0
180,11,21,5,60,2018-11-21 05:00:00,1542794400.0
181,11,21,6,70,2018-11-21 06:00:00,1542798000.0
182,11,21,7,70,2018-11-21 07:00:00,1542801600.0
